run,operation,started,time,status,label,blocker,dataset,gpu,model,postprune_epochs,preprune_epochs,pruner,sparsity,step,Accuracy/postprune,Accuracy/preprune,Loss/postprune,Loss/preprune,Sparsity,best_post_acc,best_post_loss,best_pre_acc,best_pre_loss,immediate_post_acc,immediate_post_loss
34c80308,main.py,2022-05-23 09:59:56,2:07:46,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,magnitude,0.98,160,0.10000000149011612,0.9304999709129333,2.302581787109375,0.34041208028793335,0.9916999936103821,0.10000000149011612,2.302539110183716,0.932200014591217,0.293785035610199,0.10000000149011612,2.3244893550872803
e2eb1419,main.py,2022-05-23 09:59:30,2:04:05,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,magnitude,0.99,160,0.10000000149011612,0.9319999814033508,2.3025832176208496,0.33201658725738525,0.9966999888420105,0.10000000149011612,2.302518844604492,0.9323999881744385,0.320686399936676,0.10000000149011612,2.322561740875244
823a0cfd,main.py,2022-05-23 09:58:50,2:07:59,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,relative_error,0.89,160,0.9294999837875366,0.9332000017166138,0.3540442883968353,0.3291485905647278,0.913100004196167,0.9305999875068665,0.3248276710510254,0.9332000017166138,0.30716806650161743,0.5712000131607056,1.4681090116500854
3fd090c8,main.py,2022-05-23 09:58:08,2:05:55,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,relative_error,0.93,160,0.9193000197410583,0.9284999966621399,0.3980911076068878,0.34271329641342163,0.9437000155448914,0.9204000234603882,0.31842952966690063,0.9296000003814697,0.3115190267562866,0.10249999910593033,2.8696770668029785
5bb6e929,main.py,2022-05-23 09:57:56,2:05:55,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,relative_error,0.96,160,0.8851000070571899,0.9322999715805054,0.4488479495048523,0.34206870198249817,0.9685999751091003,0.887499988079071,0.39076104760169983,0.9341999888420105,0.3104942739009857,0.10000000149011612,2.8764255046844482
7a9184d5,main.py,2022-05-23 09:56:56,2:08:12,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,relative_error,0.98,160,0.7836999893188477,0.9305999875068665,0.6498501896858215,0.3457401692867279,0.9850000143051147,0.7885000109672546,0.640339732170105,0.9312000274658203,0.3103676438331604,0.10000000149011612,2.344749689102173
e429e2fb,main.py,2022-05-23 09:56:47,1:44:33,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,relative_error,0.99,160,0.548799991607666,0.930400013923645,1.2447187900543213,0.33787328004837036,0.9923999905586243,0.552299976348877,1.2376630306243896,0.9330000281333923,0.322089284658432,0.10000000149011612,2.311016798019409
ba6a385d,main.py,2022-05-23 09:56:21,2:08:00,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,alignment_output,0.89,160,0.932699978351593,0.9325000047683716,0.33578044176101685,0.33795204758644104,0.9110000133514404,0.932699978351593,0.3112586736679077,0.9325000047683716,0.3149566054344177,0.3034000098705292,3.1633267402648926
a995e48d,main.py,2022-05-23 09:53:13,2:08:34,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,alignment_output,0.93,160,0.9176999926567078,0.930400013923645,0.391353577375412,0.3446557819843292,0.9427000284194946,0.920199990272522,0.3205488920211792,0.9316999912261963,0.3305986523628235,0.10000000149011612,3.362309455871582
edcf2dd6,main.py,2022-05-23 09:52:36,2:06:19,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,alignment_output,0.96,160,0.8741000294685364,0.9311000108718872,0.42690494656562805,0.3372795581817627,0.9656000137329102,0.8791000247001648,0.40260404348373413,0.9329000115394592,0.31015685200691223,0.10000000149011612,2.949022054672241
